vehicle_brand,year,cubic_capacity,km_driven,selling_price
Tata,2011,1248.0,120000,180000
Maruti,2010,998.0,200000,160000
Mahindra,2009,2498.0,90000,300000
Toyota,2011,1364.0,90000,350000
Maruti,2011,,85000,280000
Maruti,2015,998.0,60000,400000
Renault,2013,1461.0,100000,345000
Tata,2012,1248.0,60000,175000
Maruti,2013,1248.0,24019,450000
Maruti,2015,1248.0,110000,650000
Ford,2010,1399.0,110000,250000
Mahindra,2015,2179.0,65000,1050000
Ford,2011,1196.0,15000,225000
Honda,2015,1199.0,30000,610000
Hyundai,2017,1186.0,49000,550000
Hyundai,2015,1197.0,45000,500000
Hyundai,2004,,120000,60000
Tata,2012,1396.0,60000,260000
Ford,2010,1399.0,170000,229999
Nissan,2016,1461.0,35000,750000
Tata,2011,2179.0,60000,425000
Chevrolet,2014,1199.0,23000,330000
Ford,2015,1399.0,70000,292000
Tata,2012,2956.0,80000,250000
Maruti,2018,1248.0,82000,825000
Chevrolet,2011,1991.0,100000,270000
Mercedes-Benz,2011,2143.0,81500,1350000
Hyundai,2011,1086.0,50000,170000
Tata,2016,1199.0,15000,350000
Renault,2019,799.0,15000,380000
Maruti,2012,796.0,38000,200000
Toyota,2013,2494.0,110000,910000
Nissan,2015,1198.0,80000,300000
Nissan,2014,1461.0,70000,400000
Mahindra,2013,2179.0,49700,950000
Hyundai,2016,1582.0,70000,1100000
Maruti,2011,1248.0,90000,265000
Maruti,2018,998.0,50000,450000
Hyundai,2015,1197.0,50000,480000
Volkswagen,2011,1198.0,60000,270000
Mahindra,2016,2179.0,48000,925000
Maruti,2015,998.0,30000,400000
Hyundai,2019,1086.0,15000,425000
Hyundai,2010,1086.0,55000,180000
Tata,2007,2179.0,80000,250000
Mahindra,2012,2179.0,215000,470000
Hyundai,2012,814.0,44588,250000
Toyota,2013,2494.0,440000,750000
Maruti,2016,998.0,40000,305000
Tata,2014,2179.0,110000,440000
Maruti,2010,796.0,170000,120000
Ford,2013,1596.0,120000,350000
Maruti,2011,1248.0,170000,250000
Maruti,2013,1248.0,86000,430000
Hyundai,2011,814.0,80000,129000
Mahindra,2018,2179.0,50000,1100000
Maruti,2017,1248.0,47747,810000
Mahindra,2013,2523.0,50000,500000
Hyundai,2017,1197.0,20000,450000
Honda,2015,1498.0,70000,600000
Mahindra,2011,2523.0,100000,450000
Tata,2017,1047.0,120000,350000
Hyundai,2013,1396.0,210000,360000
Mercedes-Benz,2016,2143.0,31000,2900000
Hyundai,2018,1186.0,26000,680000
Hyundai,2015,1396.0,80000,650000
Hyundai,2016,1197.0,56000,500000
Renault,2018,999.0,30000,330000
Toyota,2012,,80000,300000
Hyundai,2019,1086.0,5000,509999
Chevrolet,2013,936.0,60000,200000
Maruti,2018,998.0,17500,400000
Mahindra,2017,2179.0,52236,950000
Hyundai,2007,1086.0,70000,190000
Toyota,2014,2494.0,95000,680000
Mahindra,2008,2609.0,100000,320000
Maruti,2005,796.0,40000,90000
Tata,2006,1405.0,88000,110000
Tata,2019,1956.0,25000,1630000
Hyundai,2014,1120.0,60000,425000
Renault,2013,1461.0,120000,434999
Hyundai,2014,1120.0,100000,350000
Tata,2012,1396.0,186000,229999
Maruti,2006,998.0,150000,140000
Maruti,2005,993.0,90000,85000
Tata,2012,1248.0,110000,150000
Hyundai,2010,1197.0,59734,258000
Toyota,2016,2393.0,27000,1925000
Maruti,2017,1248.0,40000,754000
Hyundai,2010,1197.0,120000,180000
Ford,2016,1498.0,125000,650000
Tata,2010,2179.0,108957,300000
Hyundai,2016,1120.0,30000,480000
Jeep,2017,1956.0,70000,1950000
Datsun,2017,1198.0,30000,385000
Maruti,2013,1197.0,15000,350000
Hyundai,2016,1396.0,80000,540000
Renault,2012,1461.0,90000,450000
Hyundai,2013,1086.0,65000,180000
Hyundai,2015,1396.0,72000,585000
Maruti,2019,1197.0,19000,685000
Hyundai,2015,1582.0,120000,869999
Maruti,2005,998.0,90000,89000
Fiat,2015,1248.0,95000,300000
Mahindra,2014,2179.0,90000,750000
Renault,2013,1461.0,44500,400000
Jeep,2017,1956.0,60000,1689999
Mahindra,2017,2523.0,70000,700000
Mahindra,2017,1493.0,60000,690000
Mahindra,2014,1461.0,50000,250000
Tata,2012,1368.0,80868,200000
Hyundai,2017,1197.0,80000,650000
Maruti,2011,998.0,90000,210000
Ford,2015,1499.0,30000,775000
Honda,2009,2354.0,120000,500000
Mercedes-Benz,2013,2143.0,25000,1550000
Hyundai,2015,1582.0,50000,900000
Hyundai,2007,,70000,100000
Ford,2017,1196.0,100000,400000
Hyundai,2013,1493.0,80000,550000
Maruti,2009,998.0,50000,185000
Hyundai,2017,1396.0,25471,675000
Honda,2014,1198.0,52442,325000
Hyundai,2015,1396.0,72000,615000
Maruti,2004,796.0,46000,75000
Maruti,2015,1248.0,60000,610000
Hyundai,2018,1396.0,50000,850000
Hyundai,2012,1197.0,100000,265000
Tata,2013,1193.0,120000,210000
Maruti,2007,796.0,35000,140000
Hyundai,2016,1120.0,56000,480000
Ford,2008,1399.0,163000,175000
Maruti,1999,796.0,100000,52000
Tata,2011,1405.0,120000,150000
Maruti,2019,1197.0,15000,650000
Hyundai,2014,1197.0,25000,425000
Mahindra,2016,2179.0,25000,1350000
Maruti,2000,993.0,70000,110000
Chevrolet,2012,936.0,100000,225000
Hyundai,2016,814.0,40800,300000
Chevrolet,2008,1150.0,70000,80000
Maruti,2012,1298.0,112048,380000
Nissan,2013,1461.0,120000,250000
Mahindra,2014,2179.0,75000,850000
Tata,2003,,70000,50000
Honda,2006,1497.0,120000,180000
Datsun,2016,1198.0,20000,385000
Ford,2012,1399.0,103994,320000
Hyundai,2019,1197.0,15000,550000
Tata,2013,1405.0,162500,170000
Hyundai,2017,1197.0,25000,630000
Hyundai,2020,1197.0,2000,775000
Mahindra,2018,909.0,50000,400000
Tata,2017,1248.0,35000,484999
Mahindra,2017,,60000,600000
Renault,2017,1461.0,65000,695000
Hyundai,2017,1396.0,70000,575000
Skoda,2016,1498.0,88000,675000
Mahindra,2011,2179.0,120000,350000
Hyundai,2015,1396.0,90000,500000
Volkswagen,2012,1199.0,60300,300000
Hyundai,2012,814.0,25000,250000
Ford,2011,1399.0,90000,225000
Toyota,2011,,28100,420000
Maruti,2011,998.0,70000,200000
Mahindra,2011,2179.0,150000,500000
Mahindra,2018,1493.0,80000,890000
Toyota,2009,2494.0,242000,650000
Maruti,2006,796.0,90000,160000
Tata,2009,2179.0,90000,150000
Hyundai,2011,1582.0,80000,440000
Mahindra,2010,2523.0,78000,450000
Hyundai,2016,814.0,25000,310000
Hyundai,2014,1591.0,70000,500000
Mahindra,2014,2523.0,110000,540000
Maruti,2015,998.0,60000,320000
Maruti,2010,796.0,75000,170000
Hyundai,2017,1197.0,30000,563000
Maruti,2020,1197.0,1000,445000
BMW,2011,1995.0,84925,1500000
Mahindra,2010,2489.0,120000,300000
Honda,2015,1498.0,60000,525000
Ford,2013,1499.0,158000,325000
Hyundai,2016,814.0,110000,250000
Maruti,2017,1196.0,25000,370000
Volkswagen,2017,1198.0,20000,550000
Maruti,2016,998.0,50000,320000
Honda,2015,1497.0,28161,600000
Mahindra,2010,2498.0,40000,320000
Maruti,2015,796.0,53000,270000
Maruti,2009,998.0,60000,300000
Tata,2011,1248.0,54000,130000
Maruti,2013,1248.0,97000,360000
Maruti,2018,1462.0,25000,900000
Hyundai,2012,814.0,100000,190000
Maruti,2011,1248.0,72000,400000
Datsun,2020,1198.0,10000,450000
Toyota,2011,2494.0,300000,830000
Honda,2019,1199.0,3100,750000
Tata,2013,2956.0,145000,310000
Hyundai,2016,1197.0,45000,525000
Maruti,2009,796.0,110000,115999
Mahindra,2016,1198.0,55000,450000
Chevrolet,2014,1199.0,51000,300000
Tata,2019,1199.0,20000,650000
Hyundai,2017,1582.0,60000,1050000
Tata,2017,1405.0,70000,450000
Maruti,2017,1248.0,61260,861000
Hyundai,2004,,158000,70000
Toyota,2010,2494.0,426000,950000
Volkswagen,2018,1498.0,82000,650000
Honda,2018,1498.0,30000,834000
Honda,2012,1497.0,49185,428000
Maruti,2013,796.0,18000,235000
Honda,2016,1498.0,30000,650000
Mahindra,2011,2523.0,50000,409999
Maruti,2013,998.0,40000,350000
Toyota,2011,1496.0,45500,285000
Chevrolet,2010,1150.0,60000,125000
Hyundai,2015,1086.0,50000,310000
Honda,2010,1497.0,79000,285000
Hyundai,2019,1396.0,60000,700000
Maruti,2018,998.0,48000,700000
Hyundai,2019,1197.0,9000,785000
Maruti,2015,1248.0,110000,700000
Honda,2017,1498.0,60000,515000
Hyundai,2008,1086.0,93331,120000
Maruti,2010,998.0,80000,150000
Hyundai,2012,2359.0,70000,525000
Maruti,1997,796.0,120000,50000
Hyundai,2017,1582.0,15000,800000
Hyundai,2017,1197.0,20000,550000
Hyundai,2013,1086.0,70000,275000
Hyundai,2019,1396.0,27000,1050000
Maruti,2009,998.0,140000,120000
Tata,2013,1405.0,110000,160000
Tata,2007,2956.0,120000,100000
Honda,2017,1497.0,35000,894999
Mahindra,2013,1493.0,120000,300000
Hyundai,2005,1493.0,100000,100000
Maruti,2016,796.0,30000,252000
Hyundai,2011,1396.0,90000,350000
Ford,2018,3198.0,12000,3250000
Hyundai,2018,814.0,33000,299000
Ford,2009,1399.0,115000,160000
Maruti,2017,1197.0,34000,600000
Maruti,2016,998.0,80000,390000
Maruti,2012,796.0,35000,150000
Hyundai,2019,998.0,3500,1125000
Honda,2015,1498.0,30000,625000
Maruti,2009,1061.0,50000,135000
Maruti,2015,1248.0,57000,650000
Maruti,2015,796.0,15000,241000
Mahindra,2016,2179.0,91567,1300000
Maruti,2018,1248.0,25000,750000
Honda,2014,1498.0,56000,630000
Toyota,2010,2982.0,240000,900000
Mahindra,2012,2179.0,80000,650000
Hyundai,2017,1396.0,39000,800000
Tata,2018,1497.0,9500,850000
Hyundai,2010,1495.0,80000,165000
Tata,2012,2179.0,90000,725000
Tata,2009,1248.0,43000,250000
Maruti,2007,1298.0,100750,215000
Tata,2017,1047.0,50000,550000
Honda,2014,1498.0,110000,500000
Maruti,2014,,50000,217000
Maruti,2007,,80000,150000
Maruti,2012,1248.0,100000,380000
Ford,2009,1597.0,70000,180000
Tata,2019,1199.0,30000,550000
Maruti,2019,1248.0,35000,860000
Hyundai,2004,,80000,85000
Mahindra,2011,1461.0,105000,229999
Honda,2012,2354.0,50171,750000
Maruti,2017,1248.0,15381,800000
Maruti,2017,1373.0,70000,650000
Skoda,2011,1598.0,64481,411000
Maruti,1999,796.0,80000,80000
Toyota,2013,2494.0,110000,819999
Hyundai,2013,1582.0,76460,700000
Maruti,2011,1298.0,58000,325000
Mahindra,2017,1493.0,30000,600000
Chevrolet,2010,1199.0,63000,250000
Mahindra,2017,1198.0,20000,430000
Volkswagen,2014,1197.0,28080,574000
Maruti,2012,1248.0,110000,550000
Maruti,2017,1248.0,30000,750000
Toyota,2017,1197.0,35000,549000
Chevrolet,2010,1991.0,60000,300000
Tata,2012,1248.0,90000,200000
Mahindra,2006,2609.0,185000,250000
Ford,2010,1196.0,120000,229999
Maruti,2017,998.0,50000,380000
Mahindra,2010,2489.0,255000,160000
Honda,2015,1199.0,43000,480000
Kia,2020,1493.0,5000,1900000
Hyundai,2014,1197.0,28800,484999
Mahindra,2015,2179.0,75262,950000
Toyota,2013,2494.0,190000,1000000
Hyundai,2009,1495.0,70000,150000
Honda,2006,1497.0,100000,200000
Datsun,2018,999.0,7000,300000
Maruti,2013,1248.0,96000,370000
Honda,2017,1497.0,20000,1100000
Mahindra,2006,2179.0,90000,310000
Toyota,2012,1364.0,125000,415000
Maruti,2015,1248.0,50000,625000
Hyundai,2015,1197.0,60000,600000
Maruti,2015,1248.0,60000,562000
Hyundai,2018,1197.0,25000,700000
Maruti,2016,1248.0,80000,750000
Honda,2017,1498.0,50000,950000
Renault,2018,999.0,30000,350000
Ford,2012,1399.0,90000,300000
Mahindra,2014,2523.0,120000,430000
Toyota,2013,2494.0,80000,750000
Isuzu,2019,1999.0,30000,1900000
Maruti,2019,1197.0,10000,615000
Hyundai,2017,1197.0,25000,509999
Maruti,2012,1248.0,120000,310000
Maruti,2014,1248.0,90000,390000
Toyota,2016,2755.0,42163,1525000
Maruti,2015,796.0,28000,280000
Ford,2017,1498.0,56000,495000
Hyundai,2015,1120.0,60000,425000
Mahindra,2014,1461.0,106000,350000
Mahindra,2016,1493.0,35000,750000
Honda,2017,1198.0,50000,400000
Honda,2013,1198.0,80000,355000
Hyundai,2001,,80000,33983
Hyundai,2014,1582.0,29340,755000
Maruti,2016,998.0,75000,285000
Maruti,2018,1248.0,25000,1030000
Maruti,2003,998.0,167000,55000
Tata,2009,1405.0,110000,135000
Maruti,2016,998.0,60000,355000
Hyundai,2012,1086.0,110000,225000
Ford,2011,1399.0,110000,260000
Hyundai,2006,1795.0,120000,140000
Maruti,2006,1061.0,50000,150000
Tata,2018,1199.0,26300,560000
Maruti,2018,1248.0,46000,630000
Maruti,2014,796.0,70000,190000
Tata,2016,1199.0,30000,350000
Mahindra,2013,2179.0,110000,520000
Maruti,2017,796.0,25000,285000
Datsun,2015,1198.0,80000,210000
Honda,2012,1198.0,30000,245000
Maruti,2017,1248.0,35000,830000
Hyundai,2017,1197.0,40000,525000
Maruti,2009,796.0,60000,125000
Hyundai,2010,1197.0,120000,200000
Honda,2017,1498.0,40000,900000
Ford,2015,1498.0,80000,615000
Maruti,2013,1248.0,100000,385000
Hyundai,2012,1396.0,53000,500000
Volkswagen,2012,1199.0,200000,240000
Mahindra,2017,2523.0,95000,580000
Hyundai,2014,1197.0,80000,400000
Maruti,2012,998.0,360003,220000
Hyundai,2012,1197.0,25000,350000
Chevrolet,2012,936.0,98000,155000
Hyundai,2012,1582.0,120000,350000
Hyundai,2005,,82000,90000
Mahindra,2010,2523.0,120000,315000
Hyundai,2013,1396.0,70000,325000
Mahindra,2010,2523.0,300000,320000
Chevrolet,2006,1599.0,94000,190000
Maruti,2010,1248.0,135000,300000
Maruti,2017,1248.0,50000,900000
Maruti,2012,1298.0,30000,350000
Maruti,1999,993.0,60000,50000
Tata,2013,1193.0,110000,170000
Mahindra,2019,1497.0,23000,1075000
Toyota,2006,2494.0,140000,300000
Maruti,2008,1061.0,80000,110000
Mahindra,2019,1497.0,6544,1225000
Hyundai,2008,1197.0,60000,140000
Maruti,2016,1248.0,90150,919999
Maruti,2013,1248.0,88200,375000
Maruti,2017,1197.0,42000,530000
Maruti,2015,1248.0,80000,459999
Mahindra,2014,2523.0,82500,600000
Mahindra,2017,2179.0,54470,950000
Tata,2007,2956.0,160000,280000
Hyundai,2010,1396.0,80000,285000
Hyundai,2017,1197.0,13000,666000
Maruti,2008,1248.0,90000,195000
Mercedes-Benz,2017,1991.0,16000,2700000
Renault,2018,1461.0,35000,900000
Maruti,2009,998.0,55500,175000
Tata,2005,1948.0,188000,225000
Volkswagen,2014,1598.0,64000,390000
Maruti,2006,796.0,70000,155000
Maruti,2011,1248.0,110000,290000
Tata,2012,1396.0,35000,259000
Maruti,2013,1248.0,90000,370000
Mahindra,2012,2179.0,120000,575000
Hyundai,2011,1495.0,62000,170000
Audi,2017,1798.0,8000,1689999
Hyundai,2014,1396.0,56000,450000
Maruti,2016,1248.0,100000,730000
Skoda,2013,1199.0,150000,250000
Honda,2019,1498.0,10000,800000
Maruti,2009,796.0,40000,130000
Ford,2011,1388.0,80000,240000
Hyundai,2018,814.0,10000,325000
Maruti,2012,1373.0,120000,450000
Honda,2012,1497.0,120000,550000
Volkswagen,2013,1198.0,58245,389000
Maruti,2014,1197.0,100000,400000
Maruti,2010,1248.0,190000,200000
Hyundai,2008,1086.0,44391,180000
Datsun,2017,799.0,25000,235000
Maruti,2017,1248.0,40000,750000
Hyundai,2018,1197.0,29000,890000
Honda,2014,1498.0,70000,600000
Hyundai,2014,1197.0,30000,480000
Maruti,2010,796.0,80000,125000
Maruti,2009,1197.0,71000,229999
Maruti,2018,796.0,10000,310000
Maruti,2004,796.0,50000,55000
Maruti,2016,1248.0,90000,620000
Toyota,2012,1364.0,90000,300000
Maruti,1998,796.0,70000,40000
Hyundai,2014,998.0,10000,220000
Hyundai,2013,1086.0,70000,310000
Hyundai,2014,1396.0,110000,459999
Hyundai,2015,1582.0,72000,875000
Mahindra,2013,1493.0,90000,225000
Ford,2010,1399.0,120000,200000
Maruti,2017,1248.0,80000,720000
Renault,2014,1461.0,188000,409999
Tata,2018,2179.0,25000,1250000
Maruti,2019,998.0,5000,475000
Maruti,2015,1248.0,100000,650000
Hyundai,2013,1495.0,120000,172000
Hyundai,2016,1197.0,40000,450000
Hyundai,2016,1197.0,70000,550000
Hyundai,2011,814.0,35000,180000
Maruti,2009,1061.0,120000,125000
Mahindra,2013,2523.0,146000,450000
Maruti,2014,1248.0,64000,680000
Chevrolet,2008,1991.0,120000,225000
Renault,2016,799.0,60000,295000
Hyundai,2012,1582.0,66657,549000
Volkswagen,2012,1968.0,110000,420000
Toyota,2018,2755.0,50000,3200000
Renault,2013,1461.0,100600,550000
Hyundai,2019,1086.0,20000,420000
Tata,2006,1405.0,120000,100000
Nissan,2019,1498.0,14317,860000
Maruti,2010,796.0,28000,130000
Ford,2011,1399.0,50000,150000
Skoda,2018,1498.0,40000,950000
Ford,2012,1399.0,150000,325000
Maruti,2009,796.0,35000,140000
Maruti,2019,1197.0,10000,500000
Maruti,2008,1248.0,60000,175000
Maruti,2010,998.0,50000,275000
Volkswagen,2013,1198.0,50000,350000
Ford,2015,1499.0,25000,700000
Tata,2012,,100000,250000
Skoda,2016,1598.0,28182,675000
Hyundai,2012,1582.0,138000,400000
Maruti,2009,796.0,90000,101000
Hyundai,2014,1120.0,160000,395000
Renault,2014,1461.0,133000,450000
Chevrolet,2012,1199.0,128000,141000
Maruti,2016,998.0,35000,310000
Hyundai,2019,1197.0,19000,700000
Ford,2012,1399.0,87237,225000
Hyundai,2017,814.0,20000,350000
Maruti,1999,,100000,70000
Maruti,2015,1248.0,50000,590000
Maruti,2013,1248.0,188000,400000
Honda,2012,1198.0,50000,310000
Mercedes-Benz,2014,1595.0,42000,1250000
Tata,2009,1396.0,110000,80000
Hyundai,2019,1086.0,3010,521000
Mahindra,2015,2179.0,41000,944999
Honda,2005,,90000,250000
Mahindra,2016,1997.0,67000,745000
Maruti,2014,998.0,100000,220000
Maruti,2017,998.0,35000,440000
Renault,2016,1461.0,40000,515000
Mahindra,2011,2179.0,140000,400000
Maruti,2009,1061.0,50000,125000
Hyundai,2011,1599.0,60000,400000
Chevrolet,2011,1991.0,100000,360000
Honda,2016,1497.0,21446,825000
Nissan,2014,1461.0,120000,525000
Maruti,2010,998.0,120600,215000
Tata,2013,1405.0,120000,170000
Audi,2014,2967.0,76131,1850000
Mahindra,2012,2523.0,100000,450000
Mahindra,2016,1493.0,30000,403000
Maruti,2017,1248.0,50000,925000
Tata,2012,1396.0,120000,200000
Maruti,2007,1061.0,110000,90000
Honda,2010,1497.0,58544,350000
Hyundai,2019,1197.0,4701,550000
Tata,2017,1199.0,19723,525000
Chevrolet,2008,1150.0,60000,150000
Honda,2016,1498.0,60000,950000
Ford,2015,1498.0,80000,480000
Ford,2012,1399.0,137000,200000
Mahindra,2015,1997.0,150000,650000
Maruti,2016,998.0,23400,310000
Nissan,2012,1461.0,120000,204999
Mahindra,2015,1493.0,165000,634000
Maruti,2013,1586.0,60000,295000
Hyundai,2010,1197.0,49000,300000
Maruti,2007,1061.0,80000,70000
Maruti,2003,796.0,90000,65000
Tata,2008,1396.0,50000,65000
Hyundai,2016,1591.0,40000,890000
Hyundai,2013,1396.0,70000,350000
Hyundai,2009,1396.0,120000,310000
Audi,2014,1968.0,60000,1500000
Maruti,2010,796.0,35000,190000
Maruti,2016,1248.0,60000,550000
Mahindra,2011,1461.0,57000,225000
Skoda,2011,1968.0,140000,270000
Maruti,2014,998.0,60000,300000
Hyundai,2017,1582.0,48698,975000
Ford,2016,1498.0,50000,650000
Maruti,2018,1248.0,23000,675000
Toyota,2012,1496.0,31711,375000
Tata,2017,2179.0,70000,1400000
Toyota,2010,1364.0,60000,300000
Maruti,2016,1248.0,70000,700000
Mercedes-Benz,2015,2143.0,35000,2051000
Maruti,2016,796.0,50000,250000
Mahindra,2013,2179.0,85710,650000
Lexus,2019,2487.0,20000,5150000
Ford,2011,1399.0,90000,190000
Maruti,2011,1248.0,137500,350000
Maruti,2015,796.0,50000,210000
Hyundai,2008,1493.0,85000,220000
Renault,2013,1461.0,67000,580000
Maruti,2012,1248.0,80000,380000
Mahindra,2005,,30000,400000
Toyota,2010,2494.0,129000,425000
Renault,2017,1461.0,50000,880000
Hyundai,2014,1197.0,52000,375000
Maruti,2013,796.0,52000,235000
Ford,2012,1399.0,64000,300000
Tata,2020,1193.0,40000,500000
Maruti,2017,1248.0,70000,650000
Tata,2010,1248.0,90000,250000
Chevrolet,2015,1199.0,50000,200000
Maruti,2008,796.0,80000,110000
Hyundai,2017,1396.0,43000,750000
Hyundai,2014,1120.0,76000,375000
Hyundai,2016,1396.0,40000,875000
Maruti,2010,,134000,240000
Tata,2017,1199.0,25000,430000
Tata,2010,1248.0,30000,160000
Maruti,2016,998.0,30000,400000
Chevrolet,2012,995.0,80000,170000
Hyundai,2018,1396.0,60000,799000
Datsun,2014,1198.0,35000,225000
Hyundai,2013,814.0,40000,200000
Mahindra,2013,2696.0,200000,850000
Hyundai,2016,1120.0,35000,550000
Maruti,2016,1248.0,70000,425000
Hyundai,2005,1341.0,50000,130000
Mahindra,2018,1198.0,60000,500000
Skoda,2012,1598.0,116000,385000
Maruti,1996,796.0,32000,40000
Maruti,2014,1248.0,88000,580000
Tata,2011,1405.0,110000,200000
Honda,2008,1497.0,110000,105000
Renault,2015,1461.0,130000,550000
Hyundai,2014,814.0,62000,180000
Hyundai,2013,1197.0,82246,295000
Maruti,2011,998.0,40000,220000
Hyundai,2016,1197.0,120000,530000
Hyundai,2017,1396.0,48000,670000
Maruti,2018,796.0,30000,260000
Chevrolet,2014,936.0,50000,220000
Mahindra,2015,2523.0,80000,600000
Honda,2014,1498.0,40000,600000
Maruti,2012,1248.0,70000,280000
Maruti,2017,1248.0,60000,800000
Volkswagen,2011,1598.0,140000,250000
Maruti,2013,1248.0,100000,300000
Maruti,2007,1586.0,120000,160000
Mahindra,2017,1493.0,40000,725000
Maruti,2010,998.0,40000,220000
Ford,2017,1497.0,30000,604000
Nissan,2012,1461.0,110000,220000
Maruti,2015,998.0,20000,300000
Toyota,2011,2494.0,110000,900000
Tata,2006,1193.0,53523,110000
Tata,2019,1497.0,10000,1140000
Maruti,2013,998.0,35000,250000
Jeep,2017,1956.0,30000,1325000
Maruti,2006,796.0,40000,120000
Toyota,2019,2755.0,43000,1925000
Maruti,2012,998.0,50000,229999
Volkswagen,2017,1498.0,40906,700000
Fiat,2015,1248.0,67000,375000
Maruti,2018,998.0,50000,459999
Volkswagen,2011,1598.0,120000,300000
Hyundai,2006,1341.0,100000,90000
Maruti,2018,1197.0,25000,560000
Toyota,2010,2494.0,100000,475000
Nissan,2012,1461.0,112072,290000
Mahindra,2015,1997.0,60000,825000
Honda,2009,1799.0,70000,240000
Mahindra,2011,2179.0,100000,420000
Honda,2019,1199.0,35000,580000
Tata,2010,1248.0,158000,202999
Fiat,2011,1248.0,30000,250000
Honda,2018,1199.0,8576,680000
Mahindra,2018,1493.0,50000,775000
Renault,2014,1461.0,80000,650000
Tata,2000,1948.0,120000,95000
Maruti,2016,1248.0,100000,765000
Maruti,2017,1197.0,15000,700000
Volkswagen,2012,1598.0,60000,360000
Mahindra,2015,2523.0,128000,475000
Maruti,2010,1061.0,39000,150000
Maruti,2019,1248.0,14000,1200000
Maruti,2017,998.0,60000,350000
Mahindra,2017,2179.0,43526,1150000
Hyundai,2013,1582.0,80000,459999
Tata,2010,1396.0,60000,200000
Honda,2006,1497.0,70000,270000
Ford,2017,1498.0,33000,880000
Mahindra,2012,2523.0,165000,450000
Mahindra,2014,2179.0,165000,825000
Maruti,2009,796.0,58000,120000
Toyota,2016,2755.0,90000,3100000
Tata,2018,1193.0,60000,520000
Maruti,2017,1248.0,20000,650000
Hyundai,2009,1493.0,90000,210000
Maruti,2020,1248.0,7400,925000
Mahindra,2011,2523.0,100000,400000
Tata,2013,2179.0,95500,466000
Maruti,2017,1197.0,35000,630000
Honda,2010,1497.0,85000,380000
Volkswagen,2017,1498.0,50000,550000
Chevrolet,2011,1991.0,99500,500000
Hyundai,2019,1197.0,4300,685000
Maruti,2016,1248.0,100000,580000
Maruti,2015,1248.0,100000,459999
Tata,2017,1199.0,30000,450000
Hyundai,2015,1197.0,40000,434999
Maruti,2018,1248.0,40000,955000
Maruti,2007,796.0,60000,128000
Toyota,2015,2982.0,130000,1900000
Maruti,2016,1197.0,45000,575000
Honda,2015,1199.0,48228,671000
Hyundai,2016,1197.0,35000,450000
Maruti,2000,993.0,180000,50000
Maruti,2016,1248.0,50000,940000
Nissan,2013,1461.0,212000,375000
Chevrolet,2010,995.0,60000,140000
Tata,2018,2179.0,140000,890000
Hyundai,2015,1086.0,20000,360000
Tata,2018,1198.0,35000,700000
Tata,2019,1199.0,15000,550000
Maruti,2020,1197.0,5000,630000
Honda,2006,1799.0,80000,150000
Hyundai,2019,1197.0,10000,550000
Ford,2007,1399.0,110000,210000
Maruti,2016,1248.0,70000,565000
Volkswagen,2017,1498.0,80000,500000
Honda,2018,1199.0,30000,780000
Hyundai,2014,814.0,35000,225000
Mercedes-Benz,2009,3498.0,80000,1000000
Tata,2010,1248.0,100000,190000
Maruti,2017,1196.0,60000,400000
Maruti,2018,1248.0,48000,745000
Renault,2016,799.0,90000,220000
